i	locus_tag	protein_id	gene	match_locus_tag	match_protein_id	match_gene	BBH	HIT
797	EO946_RS17235	WP_003219897.1	NA	BSU_34250	NP_391305.1	epsL	1	1
798	EO946_RS17230	WP_003219900.1	NA	BSU_34240	NP_391304.1	epsM	1	1
799	EO946_RS17225	WP_003219902.1	NA	BSU_34230	NP_391303.2	epsN	1	3
800	EO946_RS17220	WP_003219904.1	NA	BSU_34220	NP_391302.1	epsO	1	3
801	EO946_RS17215	WP_003219905.1	NA	BSU_34210	NP_391301.1	yvfG	1	1
802	EO946_RS17210	WP_003219906.1	rpoN	BSU_34200	NP_391300.1	sigL	1	1
803	EO946_RS17205	WP_003219907.1	NA	BSU_34190	NP_391299.1	lutP	1	2
804	EO946_RS17200	WP_003219908.1	NA	BSU_34180	NP_391298.2	lutR	1	3
805	EO946_RS17195	WP_003219909.1	NA	BSU_34170	NP_391297.1	ganR	1	10
806	EO946_RS17190	WP_003219910.1	NA	BSU_34160	NP_391296.1	ganS	1	4
807	EO946_RS17185	WP_003219911.1	NA	BSU_34150	NP_391295.1	ganP	1	6
808	EO946_RS17180	WP_003219912.1	NA	BSU_34140	NP_391294.1	ganQ	1	8
809	EO946_RS17165	WP_003219916.1	NA	BSU_34110	NP_391291.1	rsbP	1	1
810	EO946_RS17160	WP_003219918.1	NA	BSU_34100	NP_391290.1	rsbQ	1	4
811	EO946_RS17150	WP_003219923.1	NA	BSU_34080	NP_391288.1	yvfS	1	1
812	EO946_RS17140	WP_003219927.1	NA	BSU_34060	NP_391286.1	yvfU	1	12
813	EO946_RS17135	WP_003219929.1	NA	BSU_38018	YP_003097793.1	ywzG	0	1
814	EO946_RS17125	WP_003219934.1	NA	BSU_34050	NP_391285.1	lutA	1	2
815	EO946_RS17120	WP_003219936.1	NA	BSU_34040	NP_391284.1	lutB	1	1
816	EO946_RS17115	WP_003219938.1	NA	BSU_34030	NP_391283.1	lutC	1	1
817	EO946_RS17110	WP_003219941.1	NA	BSU_34020	NP_391282.1	yvbX	1	3
818	EO946_RS17105	WP_003219943.1	NA	BSU_34010	NP_391281.1	yvbW	1	18
819	EO946_RS17095	WP_003219947.1	NA	BSU_33980	NP_391278.1	yvbT	1	5
820	EO946_RS17090	WP_003219950.1	NA	BSU_33970	NP_391277.2	araR	1	8
821	EO946_RS17085	WP_003219952.1	NA	BSU_33960	NP_391276.1	araE	1	9
822	EO946_RS17080	WP_003219954.1	NA	BSU_33950	NP_391275.1	cggR	1	2
823	EO946_RS17075	WP_003219957.1	gap	BSU_33940	NP_391274.1	gapA	1	2
824	EO946_RS17065	WP_003219959.1	NA	BSU_33930	NP_391273.1	pgk	1	1
825	EO946_RS17060	WP_003219962.1	NA	BSU_33920	NP_391272.1	tpiA	1	1
826	EO946_RS17055	WP_003219964.1	gpmI	BSU_33910	NP_391271.1	pgm	1	1
827	EO946_RS17050	WP_003219966.1	eno	BSU_33900	NP_391270.1	eno	1	1
828	EO946_RS17045	WP_003219968.1	NA	BSU_33890	NP_391269.1	yvbK	1	1
829	EO946_RS17040	WP_003219969.1	NA	BSU_33880	NP_391268.1	yvbJ	1	1
830	EO946_RS17035	WP_003219971.1	NA	BSU_33870	NP_391267.1	yvbI	1	2
831	EO946_RS17020	WP_003219975.1	NA	BSU_33840	NP_391264.1	opcR	1	3
832	EO946_RS17015	WP_003219976.1	NA	BSU_33830	NP_391263.1	opuCA	1	7
833	EO946_RS17010	WP_003219978.1	NA	BSU_33820	NP_391262.1	opuCB	1	6
834	EO946_RS17005	WP_003219979.1	NA	BSU_33810	NP_391261.1	opuCC	1	2
835	EO946_RS17000	WP_003219981.1	NA	BSU_33800	NP_391260.1	opuCD	1	5
836	EO946_RS16790	WP_003219999.1	NA	BSU_33460	NP_391226.1	yvgT	1	1
837	EO946_RS16795	WP_003220001.1	NA	BSU_33470	NP_391227.1	bdbC	1	2
838	EO946_RS16800	WP_003220003.1	NA	BSU_33480	NP_391228.1	bdbD	1	1
839	EO946_RS16810	WP_003220008.1	NA	BSU_33500	NP_391230.2	copA	1	2
840	EO946_RS16815	WP_003220010.1	copZ	BSU_33510	NP_391231.1	copZ	1	3
841	EO946_RS16820	WP_003220011.1	csoR	BSU_33520	NP_391232.1	csoR	1	1
842	EO946_RS16825	WP_003220013.1	NA	BSU_33530	NP_391233.1	iolW	1	2
843	EO946_RS16830	WP_003220015.1	NA	BSU_33540	NP_391234.1	azoRB	1	2
844	EO946_RS16835	WP_003220016.1	NA	BSU_33550	NP_391235.1	yvaC	1	1
845	EO946_RS16840	WP_003220019.1	NA	BSU_05700	NP_388451.1	ydhC	0	3
846	EO946_RS16845	WP_003220020.1	NA	BSU_05160	NP_388397.1	ydeD	1	2
847	EO946_RS16850	WP_003220021.1	NA	BSU_33590	NP_391239.1	yvaG	1	26
848	EO946_RS16875	WP_003220025.1	smpB	BSU_33600	NP_391240.1	smpB	1	1
849	EO946_RS16880	WP_003220026.1	rnr	BSU_33610	NP_391241.1	rnr	1	1
850	EO946_RS16885	WP_003220027.1	NA	BSU_33620	NP_391242.2	estA	1	1
851	EO946_RS16890	WP_003220028.1	secG	BSU_33630	NP_391243.1	secG	1	1
852	EO946_RS16895	WP_003220029.1	NA	BSU_33640	NP_391244.1	yvaM	1	2
853	EO946_RS16900	WP_003220031.1	NA	BSU_33650	NP_391245.1	yvzC	1	1
854	EO946_RS16905	WP_003220034.1	NA	BSU_33660	NP_391246.1	rghRA	1	2
855	EO946_RS16910	WP_003220036.1	NA	BSU_33670	NP_391247.1	rghRB	1	2
856	EO946_RS16915	WP_003220037.1	NA	BSU_33680	NP_391248.2	catR	1	8
858	EO946_RS16925	WP_003220039.1	NA	BSU_33221	NP_391202.2	yvrH	0	14
859	EO946_RS16940	WP_003220042.1	NA	BSU_02570	NP_388139.2	ycbN	0	81
860	EO946_RS16960	WP_003220059.1	NA	BSU_08690	NP_388749.2	ygaD	0	4
861	EO946_RS16970	WP_003220066.1	NA	BSU_33700	NP_391250.1	opuBD	1	7
862	EO946_RS16975	WP_003220068.1	NA	BSU_33710	NP_391251.1	opuBC	1	2
863	EO946_RS16980	WP_003220070.1	NA	BSU_33720	NP_391252.1	opuBB	1	6
864	EO946_RS16985	WP_003220072.1	NA	BSU_33730	NP_391253.1	opuBA	1	6
865	EO946_RS16990	WP_003220076.1	NA	BSU_33740	NP_391254.2	yvaV	1	3
866	EO946_RS10715	WP_003220083.1	NA	BSU_19580	NP_389839.1	yodF	1	4
867	EO946_RS10710	WP_003220084.1	NA	BSU_19579	YP_003097742.1	yoyD	1	2
868	EO946_RS10700	WP_003220085.1	NA	BSU_19560	NP_389837.1	yodD	1	1
869	EO946_RS10695	WP_003220086.1	NA	BSU_19550	NP_389836.1	noxC	1	5
870	EO946_RS10690	WP_003220087.1	NA	BSU_19540	NP_389835.1	arxR	1	8
871	EO946_RS10680	WP_003220088.1	NA	BSU_19530	NP_389834.1	yodA	1	3
872	EO946_RS10675	WP_003220090.1	NA	BSU_19510	NP_389832.1	yojB	1	1
873	EO946_RS10670	WP_003220091.1	NA	BSU_19490	YP_054583.1	gerT	1	1
874	EO946_RS10665	WP_003220093.1	rarD	BSU_19480	NP_389830.2	yojE	1	1
875	EO946_RS10660	WP_003220095.1	NA	BSU_19479	YP_003097741.1	yoyC	1	1
876	EO946_RS10655	WP_003220097.1	NA	BSU_19470	NP_389829.1	yojF	1	1
877	EO946_RS10650	WP_003220099.1	bshB2	BSU_19460	YP_054582.2	bshBB	1	1
878	EO946_RS10645	WP_003220101.1	NA	BSU_19450	NP_389827.1	rsbRC	1	4
879	EO946_RS10640	WP_003220103.1	NA	BSU_19440	NP_389826.1	mdtK	1	4
880	EO946_RS10635	WP_003220108.1	NA	BSU_19430	NP_389825.3	cdaS	1	1
881	EO946_RS10630	WP_003220110.1	NA	BSU_19420	NP_389824.2	yojK	1	3
882	EO946_RS10625	WP_003220112.1	NA	BSU_19410	NP_389823.1	cwlS	1	5
883	EO946_RS10620	WP_003220114.1	NA	BSU_19400	NP_389822.1	sodC	1	1
884	EO946_RS10615	WP_003220117.1	NA	BSU_19390	NP_389821.1	yojN	1	1
885	EO946_RS10610	WP_003220121.1	NA	BSU_19380	NP_389820.2	yojO	1	1
886	EO946_RS10605	WP_003220123.1	sucA	BSU_19370	NP_389819.3	odhA	1	1
887	EO946_RS10600	WP_003220126.1	odhB	BSU_19360	NP_389818.2	odhB	1	4
888	EO946_RS10595	WP_003220128.1	NA	BSU_19350	NP_389817.1	yocS	1	2
889	EO946_RS10590	WP_003220130.1	NA	BSU_19340	NP_389816.1	yocR	1	2
890	EO946_RS10585	WP_003220132.1	NA	BSU_19330	NP_389815.1	sodF	1	1
891	EO946_RS10580	WP_003220134.1	NA	BSU_19320	NP_389814.2	sqhC	1	1
892	EO946_RS10575	WP_003220135.1	dhaS	BSU_19310	NP_389813.1	dhaS	1	11
893	EO946_RS10570	WP_003220137.1	NA	BSU_19300	NP_389812.1	yozC	1	1
894	EO946_RS10565	WP_003220141.1	NA	BSU_19290	NP_389811.1	yozO	1	2
895	EO946_RS10560	WP_003220142.1	NA	BSU_19240	NP_389805.2	yocK	1	2
896	EO946_RS10555	WP_003220143.1	NA	BSU_19230	NP_389804.1	azoJ	1	2
897	EO946_RS10545	WP_003220144.1	recQ	BSU_19220	NP_389803.1	recQ	1	1
898	EO946_RS10540	WP_003220145.1	NA	BSU_19210	NP_389802.1	walL	1	4
899	EO946_RS10535	WP_003220146.1	NA	BSU_06660	NP_388548.1	opuE	0	2
900	EO946_RS10530	WP_003220147.1	NA	BSU_19200	NP_389801.1	desR	1	12
901	EO946_RS10525	WP_003220148.1	NA	BSU_19190	NP_389800.1	desK	1	4
902	EO946_RS10520	WP_003220149.1	NA	BSU_19180	NP_389799.1	desE	1	1
903	EO946_RS10515	WP_003220150.1	NA	BSU_19170	NP_389798.1	yocD	1	2
904	EO946_RS10510	WP_003220151.1	NA	BSU_19160	NP_389797.1	yocC	1	1
905	EO946_RS10505	WP_003220152.1	NA	BSU_19150	NP_389796.1	yocB	1	1
906	EO946_RS10500	WP_003220153.1	NA	BSU_19140	NP_389795.1	yozB	1	1
907	EO946_RS10495	WP_003220154.1	NA	BSU_19130	NP_389794.1	yocA	1	1
908	EO946_RS10490	WP_003220155.1	NA	BSU_19120	NP_389793.1	czrA	1	4
909	EO946_RS10485	WP_003220156.1	NA	BSU_19110	NP_389792.1	yobW	1	1
910	EO946_RS10480	WP_003220157.1	NA	BSU_19100	NP_389791.1	yobV	1	1
911	EO946_RS10475	WP_003220158.1	NA	BSU_19090	NP_389790.1	yobU	1	1
912	EO946_RS10465	WP_003220159.1	NA	BSU_19070	NP_389788.1	yobS	1	1
913	EO946_RS10460	WP_003220161.1	NA	BSU_19060	NP_389787.1	yobR	1	1
914	EO946_RS10450	WP_003220163.1	csaA	BSU_19040	NP_389785.1	csaA	1	2
915	EO946_RS10440	WP_003220165.1	NA	BSU_21590	NP_390042.1	yokH	1	3
916	EO946_RS10430	WP_003220166.1	bglS	BSU_39070	NP_391786.1	bglS	1	1
917	EO946_RS10410	WP_003220169.1	NA	BSU_23510	NP_390232.2	ripX	0	2
918	EO946_RS09680	WP_003220177.1	NA	BSU_18220	NP_389704.1	ldeF	1	4
919	EO946_RS09685	WP_003220178.1	NA	BSU_18230	NP_389705.1	ldeG	1	2
920	EO946_RS09690	WP_003220179.1	NA	BSU_18239	YP_003097733.1	lgeHB	1	3
921	EO946_RS09695	WP_003220180.1	NA	BSU_18240	NP_389706.1	ldeHA	1	5
922	EO946_RS09700	WP_003220181.1	NA	BSU_18250	NP_389707.1	ldeI	1	32
923	EO946_RS09705	WP_003220182.1	NA	BSU_18260	NP_389708.1	ldeJ	1	5
924	EO946_RS09715	WP_003220184.1	NA	BSU_18530	NP_389735.2	yoaA	0	1
925	EO946_RS09720	WP_003220185.1	NA	BSU_18280	NP_389710.1	yngK	1	1
926	EO946_RS09725	WP_003220186.1	NA	BSU_18290	NP_389711.1	yngL	1	1
927	EO946_RS09730	WP_003220187.1	NA	BSU_03480	NP_388230.2	srfAA	0	52
928	EO946_RS09735	WP_003220188.1	NA	BSU_18310	NP_389713.2	ppsD	0	81
929	EO946_RS09740	WP_003220189.1	NA	BSU_17210	NP_389602.3	pksN	0	14
930	EO946_RS09745	WP_003220190.1	fabD	BSU_15900	NP_389472.1	fabD	0	4
931	EO946_RS09750	WP_003220192.1	dacB	BSU_18350	NP_389717.1	dacC	1	1
932	EO946_RS09755	WP_003220193.1	NA	BSU_18360	NP_389718.1	galM	1	1
933	EO946_RS09760	WP_003220194.1	NA	BSU_18370	NP_389719.2	yoeA	1	4
934	EO946_RS09765	WP_003220195.1	NA	BSU_18380	NP_389720.2	iseA	1	1
936	EO946_RS09785	WP_003220201.1	NA	BSU_12460	NP_389128.1	xlyB	0	5
937	EO946_RS09790	WP_003220203.1	NA	BSU_12800	NP_389163.1	xhlB	0	2
938	EO946_RS09795	WP_003220204.1	NA	BSU_21420	NP_390025.1	bhlA	1	1
939	EO946_RS09805	WP_003220206.1	NA	BSU_21260	NP_390009.1	yomQ	1	1
940	EO946_RS09810	WP_003220207.1	NA	BSU_21250	NP_390008.1	yomR	1	2
945	EO946_RS09940	WP_003220264.1	NA	BSU_18390	NP_389721.2	yoeC	0	3
947	EO946_RS09980	WP_003220282.1	NA	BSU_12550	NP_389137.1	xtrA	0	2
948	EO946_RS10015	WP_003220302.1	NA	BSU_24610	NP_390341.1	sinR	0	2
950	EO946_RS10030	WP_003220312.1	NA	BSU_20860	NP_389968.1	aimR	1	1
951	EO946_RS10035	WP_003220314.1	NA	BSU_04800	NP_388361.1	ydcL	1	1
952	EO946_RS10045	WP_003220317.1	NA	BSU_18390	NP_389721.2	yoeC	1	2
953	EO946_RS10050	WP_003220318.1	NA	BSU_18400	NP_389722.1	yoeD	1	1
954	EO946_RS10055	WP_003220322.1	ggt	BSU_18410	NP_389723.1	ggt	1	2
955	EO946_RS10070	WP_003220325.1	gltD	BSU_18440	NP_389726.2	gltB	1	1
956	EO946_RS10075	WP_003220328.1	gltB	BSU_18450	NP_389727.2	gltA	1	1
957	EO946_RS10080	WP_003220330.1	NA	BSU_18460	NP_389728.2	gltC	1	14
958	EO946_RS10085	WP_003220333.1	proB	BSU_18470	NP_389729.1	proJ	1	2
959	EO946_RS10095	WP_003220337.1	NA	BSU_18490	NP_389731.1	rtp	1	1
960	EO946_RS10100	WP_003220340.1	NA	BSU_12210	NP_389103.1	cypE	0	5
961	EO946_RS10105	WP_003220342.1	NA	BSU_18500	NP_389732.1	yoxD	1	29
962	EO946_RS10110	WP_003220343.1	NA	BSU_18510	NP_389733.1	yoxC	1	1
963	EO946_RS10115	WP_003220345.1	NA	BSU_18520	NP_389734.1	yoxB	1	1
964	EO946_RS10120	WP_003220347.1	NA	BSU_18530	NP_389735.2	yoaA	1	6
965	EO946_RS10145	WP_003220356.1	NA	BSU_18540	NP_389736.1	yoaB	1	2
966	EO946_RS10150	WP_003220358.1	NA	BSU_18550	NP_389737.1	yoaC	1	4
967	EO946_RS10160	WP_003220362.1	NA	BSU_18570	NP_389739.2	yoaE	1	5
968	EO946_RS10165	WP_003220364.1	NA	BSU_18580	NP_389740.1	yoaF	1	1
969	EO946_RS10175	WP_003220368.1	NA	BSU_18590	NP_389741.1	yoaG	1	3
970	EO946_RS10180	WP_003220370.1	NA	BSU_18596	YP_009513963.1	NA	1	1
971	EO946_RS10185	WP_003220372.1	NA	BSU_18600	YP_054581.1	yozQ	1	1
972	EO946_RS10190	WP_003220374.1	NA	BSU_18610	NP_389742.2	yoaH	1	2
973	EO946_RS10195	WP_003220375.1	hpaB	BSU_18620	NP_389743.2	yoaI	1	1
974	EO946_RS10200	WP_003220378.1	NA	BSU_18630	NP_389744.1	exlX	1	1
975	EO946_RS10205	WP_003220380.1	NA	BSU_18640	NP_389745.1	yoaK	1	1
976	EO946_RS10210	WP_003220382.1	NA	BSU_18650	NP_389746.1	pelB	1	1
977	EO946_RS10220	WP_003220388.1	NA	BSU_18780	NP_389759.1	yoaW	0	1
978	EO946_RS10230	WP_003220395.1	NA	BSU_20490	NP_389931.1	yoqW	1	3
979	EO946_RS10240	WP_003220398.1	NA	BSU_18669	YP_003097734.1	yozS	1	2
980	EO946_RS10245	WP_003220400.1	NA	BSU_18680	NP_389749.1	yoaO	1	2
981	EO946_RS10255	WP_003220402.1	NA	BSU_18700	NP_389751.1	yoaQ	1	2
982	EO946_RS10260	WP_003220404.1	NA	BSU_20620	NP_389944.1	yoqI	1	1
983	EO946_RS10265	WP_003220406.1	NA	BSU_18710	NP_389752.2	yozF	1	1
984	EO946_RS10270	WP_003220408.1	NA	BSU_18720	NP_389753.1	yoaR	1	1
985	EO946_RS10275	WP_003220410.1	NA	BSU_18730	NP_389754.1	yoaS	1	1
986	EO946_RS10280	WP_003220412.1	NA	BSU_18740	NP_389755.1	yozG	1	1
987	EO946_RS10285	WP_003220414.1	NA	BSU_18750	NP_389756.1	yoaT	1	1
988	EO946_RS10290	WP_003220415.1	NA	BSU_18760	NP_389757.1	yoaU	1	11
989	EO946_RS10295	WP_003220417.1	NA	BSU_18770	NP_389758.1	yoaV	1	6
990	EO946_RS10300	WP_003220419.1	NA	BSU_17559	YP_003097730.1	ynzI	1	2
992	EO946_RS10310	WP_003220424.1	NA	BSU_18669	YP_003097734.1	yozS	0	2
993	EO946_RS10320	WP_003220427.1	NA	BSU_18790	NP_389760.1	yoaZ	1	2
994	EO946_RS10325	WP_003220429.1	bla	BSU_18800	NP_389761.1	penP	1	1
995	EO946_RS10340	WP_003220434.1	NA	BSU_26780	NP_390555.1	yrdA	1	1
996	EO946_RS10345	WP_003220436.1	NA	BSU_17520	NP_389634.1	ynaD	1	3
1000	EO946_RS06500	WP_003220468.1	NA	BSU_12110	NP_389093.1	yjfA	1	1
1001	EO946_RS06505	WP_003220470.1	NA	BSU_12120	NP_389094.1	yjfB	1	1
1002	EO946_RS06510	WP_003220472.1	NA	BSU_12130	NP_389095.2	yjfC	1	1
1003	EO946_RS06515	WP_003220473.1	NA	BSU_12140	NP_389096.1	yjgA	1	1
1004	EO946_RS06520	WP_003220475.1	NA	BSU_12150	NP_389097.1	yjgB	1	1
1005	EO946_RS06525	WP_003220478.1	NA	BSU_12160	NP_389098.1	yjgC	1	2
1006	EO946_RS06530	WP_003220480.1	NA	BSU_12170	NP_389099.1	yjgD	1	2
1007	EO946_RS06535	WP_003220481.1	NA	BSU_12180	NP_389100.1	yjhA	1	1
1008	EO946_RS06545	WP_003220485.1	NA	BSU_12200	NP_389102.1	yjiA	1	1
1009	EO946_RS06550	WP_003220487.1	NA	BSU_12210	NP_389103.1	cypE	1	7
1010	EO946_RS06555	WP_003220489.1	NA	BSU_12220	NP_389104.1	ppuG	1	3
1011	EO946_RS06560	WP_003220492.1	NA	BSU_12229	YP_003097710.1	yjzI	1	2
1012	EO946_RS06565	WP_003220494.1	NA	BSU_12230	NP_389105.1	yjjA	1	1
1013	EO946_RS06570	WP_003220496.1	fetB	BSU_12240	NP_389106.1	yjkA	1	1
1014	EO946_RS06575	WP_003220498.1	NA	BSU_12250	NP_389107.1	yjkB	1	81
1015	EO946_RS06580	WP_003220500.1	NA	BSU_12260	NP_389108.1	yjlA	1	1
1016	EO946_RS06585	WP_003220502.1	NA	BSU_12270	NP_389109.1	yjlB	1	1
1017	EO946_RS06590	WP_003220510.1	NA	BSU_12280	NP_389110.1	yjlC	1	1
1018	EO946_RS06595	WP_003220513.1	NA	BSU_12290	NP_389111.1	ndh	1	4
1019	EO946_RS06605	WP_003220519.1	NA	BSU_12310	NP_389113.1	exuM	1	3
1020	EO946_RS06610	WP_003220521.1	allD	BSU_12320	NP_389114.1	yjmC	1	1
1021	EO946_RS06615	WP_003220523.1	NA	BSU_12330	NP_389115.1	yjmD	1	5
1022	EO946_RS06620	WP_003220525.1	uxuA	BSU_12340	NP_389116.1	uxuA	1	1
1023	EO946_RS06625	WP_003220527.1	NA	BSU_12350	NP_389117.1	uxuB	1	26
1024	EO946_RS06630	WP_003220529.1	NA	BSU_12360	NP_389118.1	exuT	1	6
1025	EO946_RS06635	WP_003220531.1	NA	BSU_12370	NP_389119.1	exuR	1	12
1026	EO946_RS06640	WP_003220533.1	NA	BSU_12380	NP_389120.1	uxaB	1	1
1027	EO946_RS06645	WP_003220535.1	NA	BSU_12390	NP_389121.2	uxaA	1	2
1028	EO946_RS06650	WP_003220538.1	NA	BSU_12400	NP_389122.1	yjnA	1	2
1029	EO946_RS06655	WP_003220539.1	NA	BSU_12410	NP_389123.1	yjoA	1	1
1030	EO946_RS06670	WP_003220543.1	phrA	BSU_12440	NP_389126.1	phrA	1	1
1031	EO946_RS06675	WP_003220545.1	NA	BSU_12450	NP_389127.2	yjpA	1	1
1032	EO946_RS06680	WP_003220547.1	NA	BSU_12460	NP_389128.1	xlyB	1	4
1033	EO946_RS06685	WP_003220548.1	NA	BSU_12470	NP_389129.1	yjqA	1	2
1034	EO946_RS06690	WP_003220550.1	NA	BSU_12480	NP_389130.1	pghB	1	4
1035	EO946_RS06695	WP_003220552.1	NA	BSU_12490	NP_389131.2	xpdC	1	3
1036	EO946_RS06700	WP_003220554.1	NA	BSU_12500	NP_389132.3	xkdA	1	2
1037	EO946_RS06705	WP_003220555.1	NA	BSU_12510	NP_389133.1	xre	1	6
1038	EO946_RS06710	WP_003220557.1	NA	BSU_12519	YP_003097711.1	yjzJ	1	1
1039	EO946_RS06715	WP_003220558.1	NA	BSU_12520	NP_389134.2	xkdB	1	1
1040	EO946_RS06725	WP_003220561.1	NA	BSU_12539	YP_003097712.1	ykzK	1	1
1041	EO946_RS06730	WP_003220565.1	NA	BSU_12540	NP_389136.1	xkdD	1	1
1042	EO946_RS06735	WP_003220566.1	xtrA	BSU_12550	NP_389137.1	xtrA	1	2
1043	EO946_RS06740	WP_003220567.1	NA	BSU_12560	NP_389138.1	xpf	1	1
1044	EO946_RS06745	WP_003220569.1	NA	BSU_12570	NP_389139.1	xtmA	1	1
1045	EO946_RS06750	WP_003220571.1	NA	BSU_12580	NP_389140.1	xtmB	1	2
1046	EO946_RS06760	WP_003220576.1	NA	BSU_12600	NP_389142.2	xkdF	1	2
1047	EO946_RS06765	WP_003220578.1	NA	BSU_12610	NP_389143.1	xkdG	1	2
1048	EO946_RS06770	WP_003220581.1	NA	BSU_12619	YP_003097713.1	ykzL	1	2
1049	EO946_RS06775	WP_003220584.1	NA	BSU_12620	NP_389144.1	xkdH	1	2
1050	EO946_RS06780	WP_003220585.1	NA	BSU_12630	NP_389145.1	xkdI	1	2
1051	EO946_RS06785	WP_003220587.1	NA	BSU_12640	NP_389146.1	xkdJ	1	2
1052	EO946_RS06790	WP_003220589.1	NA	BSU_12649	YP_003097714.1	ykzM	1	2
1053	EO946_RS06795	WP_003220591.1	NA	BSU_12650	NP_389147.2	xkdK	1	2
1054	EO946_RS06800	WP_003220592.1	NA	BSU_12660	NP_389148.1	xkdM	1	2
1055	EO946_RS06805	WP_003220594.1	NA	BSU_12671	NP_389149.2	xkdN	1	1
1056	EO946_RS06810	WP_003220596.1	NA	BSU_12672	YP_003097715.1	xkzB	1	1
1057	EO946_RS16020	WP_003220614.1	NA	BSU_32120	NP_391092.1	yuzG	1	1
1058	EO946_RS16015	WP_003220618.1	NA	BSU_32110	NP_391091.2	trxBB	1	5
1059	EO946_RS16005	WP_003220621.1	NA	BSU_32090	NP_391089.1	yuiA	1	1
1060	EO946_RS16000	WP_003220624.1	NA	BSU_32080	NP_391088.1	yuiB	1	1
1061	EO946_RS15990	WP_003220628.1	NA	BSU_32060	NP_391086.1	yuiD	1	1
1062	EO946_RS15985	WP_003220629.1	NA	BSU_32050	NP_391085.1	pepA	1	1
1063	EO946_RS15980	WP_003220631.1	NA	BSU_32040	NP_391084.1	hisP	1	1
1064	EO946_RS15975	WP_003220634.1	NA	BSU_32030	NP_391083.1	bioYB	1	1
1065	EO946_RS15970	WP_003220636.1	NA	BSU_32020	NP_391082.1	yuiH	1	1
1066	EO946_RS15965	WP_003220638.1	NA	BSU_32010	NP_391081.2	besA	1	1
1067	EO946_RS15960	WP_003220640.1	NA	BSU_32000	NP_391080.2	dhbA	1	28
1068	EO946_RS15955	WP_003220642.1	dhbC	BSU_31990	NP_391079.2	dhbC	1	2
1069	EO946_RS15950	WP_003220643.1	NA	BSU_31980	NP_391078.1	dhbE	1	31
1070	EO946_RS15945	WP_003220646.1	NA	BSU_31970	NP_391077.1	dhbB	1	1
1071	EO946_RS15940	WP_003220649.1	dhbF	BSU_31960	NP_391076.3	dhbF	1	25
1072	EO946_RS15935	WP_003220651.1	NA	BSU_31959	YP_003097779.1	mbtH	1	1
1073	EO946_RS15930	WP_003220653.1	NA	BSU_31945	NP_391073.2	yukJ	1	1
1074	EO946_RS15925	WP_003220655.1	ald	BSU_31930	NP_391071.1	ald	1	1
1075	EO946_RS15920	WP_003220658.1	NA	BSU_31920	NP_391070.2	adeR	1	2
1076	EO946_RS15915	WP_003220661.1	NA	BSU_31910	NP_391069.2	yukE	1	1
1077	EO946_RS15910	WP_003220663.1	NA	BSU_31900	NP_391068.1	yukD	1	1
1078	EO946_RS15905	WP_003220665.1	essB	BSU_31890	NP_391067.1	yukC	1	1
1079	EO946_RS15900	WP_003220667.1	essC	BSU_31875	NP_391066.2	yukAB	1	1
1080	EO946_RS15895	WP_003220669.1	esaA	BSU_31860	NP_391064.1	yueB	1	1
1081	EO946_RS15885	WP_003220673.1	NA	BSU_31840	NP_391062.1	bznD	1	16
1082	EO946_RS15880	WP_003220674.1	NA	BSU_31830	NP_391061.1	yueE	1	1
1083	EO946_RS15875	WP_003220677.1	NA	BSU_31820	NP_391060.1	yuzF	1	1
1084	EO946_RS15870	WP_003220679.1	NA	BSU_31810	NP_391059.1	yuzE	1	1
1085	EO946_RS15865	WP_003220681.1	NA	BSU_31800	NP_391058.1	yueF	1	4
1086	EO946_RS15860	WP_003220683.1	NA	BSU_31790	NP_391057.1	yueG	1	3
1087	EO946_RS15855	WP_003220685.1	NA	BSU_31780	NP_391056.1	yueH	1	1
1088	EO946_RS15850	WP_003220689.1	NA	BSU_31770	NP_391055.1	yueI	1	1
1089	EO946_RS15845	WP_003220692.1	NA	BSU_31760	NP_391054.1	pncA	1	2
1090	EO946_RS15840	WP_003220693.1	NA	BSU_31750	NP_391053.1	pncB	1	1
1091	EO946_RS15835	WP_003220696.1	NA	BSU_31740	NP_391052.1	pdeH	1	1
1092	EO946_RS15830	WP_003220698.1	NA	BSU_31730	NP_391051.2	cotIC	1	1
1093	EO946_RS15820	WP_003220708.1	NA	BSU_31720	NP_391050.1	degQ	1	1
1094	EO946_RS15815	WP_003220710.1	NA	BSU_31710	NP_391049.2	comQ	1	1
1096	EO946_RS15805	WP_003220714.1	NA	BSU_31690	NP_391047.2	comP	1	1
1097	EO946_RS15800	WP_003220716.1	NA	BSU_31680	NP_391046.1	comA	1	9
1098	EO946_RS15795	WP_003220719.1	NA	BSU_31670	NP_391045.2	yuxO	1	1
1099	EO946_RS15790	WP_003220721.1	NA	BSU_31660	NP_391044.1	mrpG	1	1
1100	EO946_RS15785	WP_003220724.1	NA	BSU_31650	NP_391043.2	mrpF	1	1
1101	EO946_RS15780	WP_003220727.1	NA	BSU_31640	YP_054591.2	mrpE	1	1
1102	EO946_RS15775	WP_003220728.1	NA	BSU_31630	NP_391041.3	mrpD	1	2
1103	EO946_RS15770	WP_003220730.1	NA	BSU_31620	NP_391040.2	mrpC	1	1
1104	EO946_RS15765	WP_003220732.1	NA	BSU_31610	NP_391039.1	mrpB	1	1
1105	EO946_RS15760	WP_003220734.1	NA	BSU_31600	NP_391038.2	mrpA	1	1
