i	locus_tag	old_locus_tag	protein_id	gene	strand	start	end	product
956	BSU_09130	BSU09130	NP_388794.1	tcyP	1	986985	988377	(sodium)-cystine symporter
957	BSU_09140	BSU09140	NP_388795.1	yhcM	-1	988416	988872	expressed protein of unknown function
958	BSU_09150	BSU09150	NP_388796.2	yhcN	1	989021	989591	putative germination lipoprotein
959	BSU_09165	BSU09165	NP_388797.2	yhcO	1	989711	990680	putative exported protein (sporulation germination island)
960	BSU_09180	BSU09180	NP_388799.1	yhcQ	-1	990611	991265	putative spore coat protein
961	BSU_09190	BSU09190	NP_388800.1	mncR	1	991347	995001	non specific extracellular Ca2+-dependent endonuclease cleaving RNA and DNA
962	BSU_09200	BSU09200	NP_388801.1	srtA	1	994997	995594	sortase A
963	BSU_09210	BSU09210	NP_388802.2	yhcT	-1	995623	996532	putative RNA pseudouridine synthase
964	BSU_09220	BSU09220	NP_388803.2	yhcU	1	996642	997038	conserved protein of unknown function
965	BSU_09230	BSU09230	NP_388804.1	yhcV	1	997174	997597	putative CBS containing enzyme (sporulation-/ germination-related)
966	BSU_09240	BSU09240	NP_388805.1	glpW	1	997723	998386	promiscuous phosphoglycolate phosphatase / glycerol-3-phosphate phosphatase / 2-deoxyglucose-6-phosphatase
967	BSU_09250	BSU09250	NP_388806.2	yhcX	1	998401	999943	putative amidohydrolase
968	BSU_09259	BSU09259	NA	yhzG	1	1000026	1000218	hypothetical protein
969	BSU_09260	BSU09260	NP_388807.2	yhxA	1	1000363	1001716	putative aminotransferase
970	BSU_09270	BSU09270	NP_388808.1	glpP	1	1001743	1002322	sn-glycerol-3-phosphate responding transcription antiterminator
971	BSU_09280	BSU09280	NP_388809.1	glpF	1	1002500	1003325	glycerol permease
972	BSU_09290	BSU09290	NP_388810.2	glpK	1	1003343	1004834	glycerol kinase (sn-glycerol-3-phosphate generating)
973	BSU_09300	BSU09300	NP_388811.2	glpD	1	1004974	1006642	sn-glycerol-3-phosphate oxidase (FAD-dependent)
974	BSU_09310	BSU09310	NP_388812.2	pgcA	1	1006773	1008519	alpha-phosphoglucomutase
975	BSU_09320	BSU09320	NP_388813.1	yhcY	1	1008667	1009807	two-component sensor histidine kinase [YhcZ]
976	BSU_09330	BSU09330	NP_388814.1	yhcZ	1	1009803	1010448	two-component response regulator [YhcY]
977	BSU_09340	BSU09340	NP_388815.1	azr	1	1010444	1010969	oxidoreductase, NAD(P)H-FMN and ferric iron reductase (azoreductase)
978	BSU_09350	BSU09350	NP_388816.1	yhdB	-1	1010983	1011226	conserved hypothetical protein
979	BSU_09360	BSU09360	NP_388817.1	yhdC	1	1011426	1011750	putative exported protein
980	BSU_09370	BSU09370	NP_388818.2	lytF	-1	1011791	1013258	gamma-D-glutamate-meso-diaminopimelate muropeptidase (major autolysin, vegetative)
981	BSU_09380	BSU09380	NP_388819.1	nsrR	-1	1013410	1013851	NO-dependent activator of the ResDE regulon (Fe-S NO binding site)
982	BSU_09390	BSU09390	NP_388820.1	ygxB	-1	1013957	1015616	putative integral membrane protein
983	BSU_09400	BSU09400	NP_388821.1	spoVR	1	1015646	1017053	involved in spore cortex synthesis (stage V sporulation, conserved in non sporulating bacteria
984	BSU_09410	BSU09410	NP_388822.2	phoA	-1	1017082	1018468	alkaline phosphatase A
985	BSU_09420	BSU09420	NP_388823.2	lytE	1	1018997	1020002	cell wall dl-endopeptidase; phosphatase-associated protein (major autolysin)
986	BSU_09430	BSU09430	NP_388824.2	citR	-1	1020072	1020948	transcriptional regulator CitR (LysR family)
987	BSU_09440	BSU09440	NP_388825.2	citA	1	1021056	1022157	citrate synthase I
988	BSU_09450	BSU09450	NP_388826.1	yhdF	1	1022230	1023100	putative NAD(P)-dependent dehydrogenase
989	BSU_09460	BSU09460	NP_388827.1	bcaP	1	1023349	1024747	branched-chain amino acid transporter or methylthioribose-degradation metabolite exporter
990	BSU_09470	BSU09470	NP_388828.1	yhdH	1	1024864	1026220	putative sodium-dependent transporter
991	BSU_09480	BSU09480	NP_388829.1	yhdI	-1	1026254	1027664	putative PLP-dependent transcriptional regulator
992	BSU_09490	BSU09490	NP_388830.1	yhdJ	1	1027773	1028202	putative acetyltransferase
993	BSU_09500	BSU09500	NP_388831.1	asiMB	-1	1028232	1028523	negative regulator of the activity of sigma-M
994	BSU_09510	BSU09510	NP_388832.1	asiMA	-1	1028510	1029587	negative regulator of the activity of sigma-M
995	BSU_09520	BSU09520	NP_388833.1	sigM	-1	1029576	1030068	RNA polymerase ECF (extracytoplasmic function)-type sigma factor (sigma(M))
996	BSU_09530	BSU09530	NP_388834.1	akrN	1	1030264	1031260	aldo/keto reductase specific for NADPH; protects against methylglyoxal
997	BSU_09540	BSU09540	NP_388835.1	plsC	1	1031394	1031994	1-acylglycerol-phosphate (1-acyl-G3P) acyltransferase
998	BSU_09550	BSU09550	NP_388836.1	yhdP	-1	1032062	1033397	putative magnesium efflux pump
999	BSU_09560	BSU09560	NP_388837.1	cueR	-1	1033457	1033889	indirect copper efflux transcriptional regulator
1000	BSU_09570	BSU09570	NP_388838.1	yhdR	1	1034045	1035227	putative aspartate aminotransferase
1001	BSU_09590	BSU09590	NP_388840.1	yhdT	1	1035553	1036939	putative membrane protein
1002	BSU_09600	BSU09600	NP_388841.1	crcBA	-1	1036952	1037309	fluoride efflux channel component A
1003	BSU_09610	BSU09610	NP_388842.1	crcBB	-1	1037305	1037701	subunit of fluoride efflux transporter
1004	BSU_09620	BSU09620	NP_388843.1	yhdW	-1	1037687	1038419	putative glycerophosphodiester phosphodiesterase
1005	BSU_09630	BSU09630	NP_388844.1	yhdX	1	1038652	1038760	conserved hypothetical protein
1006	BSU_09640	BSU09640	NP_388845.1	mscY	1	1038908	1040024	small conductance mechano-sensitive channel
1007	BSU_09650	BSU09650	NP_388846.1	srtN	1	1040093	1040837	sirtuin NAD-dependent deacetylase
1008	BSU_09660	BSU09660	NP_388847.1	yheN	-1	1040860	1041709	putative polysaccharide deacetylase
1009	BSU_09670	BSU09670	NP_388848.1	dat	1	1041993	1042842	D-alanine aminotransferase
1010	BSU_09680	BSU09680	NP_388849.1	nhaC	-1	1042884	1044246	Na+/H+ antiporter
1011	BSU_09690	BSU09690	NP_388850.2	nhaX	-1	1044372	1044873	stress response protein, UspA family
1012	BSU_09700	BSU09700	NP_388851.1	bmrB	1	1045036	1045198	regulator leader peptide
1013	BSU_09710	BSU09710	NP_388852.1	bmrC	1	1045317	1047075	efflux ABC transporter (ATP-binding protein)
1014	BSU_09720	BSU09720	NP_388853.1	bmrD	1	1047071	1049093	efflux ABC transporter (ATP-binding subunit)
1015	BSU_09730	BSU09730	NP_388854.1	yheG	-1	1049141	1049762	putative NADH-flavin oxidoreductase
1016	BSU_09740	BSU09740	NP_388855.1	yheF	-1	1049800	1049926	conserved hypothetical protein
1017	BSU_09750	BSU09750	NP_388856.1	sspB	-1	1050030	1050234	small acid-soluble spore protein (beta-type SASP)
1018	BSU_09760	BSU09760	NP_388857.1	yheE	-1	1050442	1050661	conserved hypothetical protein (sporulation / germination island)
1019	BSU_09770	BSU09770	NP_388858.2	spaD	-1	1050810	1052172	spore coat associated protein
1020	BSU_09780	BSU09780	NP_388859.1	spaC	-1	1052161	1053253	spore coat associated protein, subunit C
1021	BSU_09790	BSU09790	NP_388860.1	yheB	1	1053519	1054653	conserved hypothetical protein
1022	BSU_09800	BSU09800	NP_388861.1	yheA	1	1054745	1055099	conserved hypothetical protein
1023	BSU_09810	BSU09810	NP_388862.1	yhaZ	-1	1055142	1056216	conserved hypothetical protein
1024	BSU_09830	BSU09830	NP_388864.2	yhaX	1	1056701	1057568	putative hydrolase
1025	BSU_09840	BSU09840	NP_388865.1	hemZ	1	1057679	1059185	coproporphyrinogen III oxidase
1026	BSU_09850	BSU09850	NP_388866.2	khtU	-1	1059202	1060420	proton/potassium antiporter; methylglyoxal resistance
1027	BSU_09860	BSU09860	NP_388867.1	khtT	-1	1060426	1060924	K+/H+ antiporter for K+ efflux
1028	BSU_09870	BSU09870	NP_388868.1	khtS	-1	1060987	1061326	K+/H+ antiporter for K+ efflux
1029	BSU_09880	BSU09880	NP_388869.3	yhaR	1	1061490	1062258	putative dehydratase / isomerase
1030	BSU_09889	BSU09889	YP_003097698.1	yhzD	-1	1062278	1062464	conserved hypothetical protein
1031	BSU_09890	BSU09890	NP_388870.2	yhaQ	1	1062590	1063487	Na+-dependent efflux ABC transporter (ATP-binding protein)
1032	BSU_09900	BSU09900	NP_388871.2	yhaP	1	1063479	1064739	Na+-dependent exporter (ABC permease)
1033	BSU_09910	BSU09910	NP_388872.1	yhaO	1	1064845	1066072	putative DNA repair exonuclease
1034	BSU_09920	BSU09920	NP_388873.1	sbcE	1	1066076	1068968	ATPase involved in DNA double strand break repair and recombination
1035	BSU_09930	BSU09930	NP_388874.1	yhaM	1	1069041	1069986	3'-5' exonuclease
1036	BSU_09940	BSU09940	NP_388875.1	yhaL	1	1070110	1070323	sporulation factor
1037	BSU_09950	BSU09950	NP_388876.1	prsA	-1	1070363	1071242	molecular chaperone lipoprotein
1038	BSU_09958	BSU09958	YP_003097699.1	sscA	1	1071401	1071488	spore assembly and germination protein
1039	BSU_09959	BSU09959	YP_009513948.1	sscB	1	1071612	1071699	spore and germination protein
1040	BSU_09965	BSU09965	NP_388878.2	yhaJ	-1	1072041	1072560	putative membrane enzyme
1041	BSU_09980	BSU09980	NP_388879.1	yhaI	1	1072767	1073109	conserved protein of unknown function
1042	BSU_09990	BSU09990	NP_388880.1	scoC	-1	1073105	1073717	transcriptional regulator of extracellular protease production, sporulation and bacilysin production (MarR family)
1043	BSU_10000	BSU10000	NP_388881.1	yhaH	-1	1073894	1074251	putative membrane protein; acid tolerance protein
1044	BSU_10009	BSU10009	YP_003097700.1	yhzF	1	1074380	1074572	membrane protein of unknown function
1045	BSU_10010	BSU10010	NP_388882.2	trpP	-1	1074645	1075164	tryptophan transporter or sensor
1046	BSU_10020	BSU10020	NP_388883.1	serC	-1	1075288	1076368	phosphoserine aminotransferase
1047	BSU_10030	BSU10030	NP_388884.1	hinT	-1	1076514	1076952	promiscuous Hit-family phosphohydrolase, adenosine phosphoramidase
1048	BSU_10040	BSU10040	NP_388885.1	ecsA	1	1077439	1078183	ABC transporter (ATP-binding protein)
1049	BSU_10050	BSU10050	NP_388886.1	ecsB	1	1078175	1079402	ABC transporter (permease subunit)
1050	BSU_10060	BSU10060	NP_388887.1	ecsC	1	1079421	1080132	putative hydrolase
1051	BSU_10070	BSU10070	NP_388888.2	sndC	-1	1080149	1081340	N-acetyl amino acid acetylase, promiscuous activity
1052	BSU_10080	BSU10080	NP_388889.1	yhfA	-1	1081412	1082804	putative transporter
1053	BSU_10090	BSU10090	NP_388890.1	yhgB	-1	1082869	1083184	hypothetical protein
1054	BSU_10100	BSU10100	NP_388891.1	hmoB	-1	1083228	1083729	heme-degrading monooxygenase
1055	BSU_10110	BSU10110	NP_388892.2	pbpF	1	1083850	1085995	penicillin-binding protein 2C (1F class) required for spore germination
1056	BSU_10120	BSU10120	NP_388893.1	hemE	1	1086116	1087178	uroporphyrinogen III decarboxylase
1057	BSU_10130	BSU10130	NP_388894.1	hemH	1	1087249	1088182	ferrochelatase
1058	BSU_10140	BSU10140	NP_388895.1	hemY	1	1088196	1089609	promiscuous protoporphyrinogen IX and coproporphyrinogen III oxidase
1059	BSU_10150	BSU10150	NP_388896.1	yhgD	1	1089754	1090330	transcriptional regulator of unknown target
1060	BSU_10160	BSU10160	NP_388897.1	yhgE	1	1090400	1092728	putative methyl-accepting protein
1061	BSU_10170	BSU10170	NP_388898.1	fabHB	-1	1092769	1093747	beta-ketoacyl-acyl carrier protein synthase III 2
1062	BSU_10180	BSU10180	NP_388899.1	yhfC	1	1093873	1094650	putative integral membrane protein
1063	BSU_10200	BSU10200	NP_388901.1	yhfE	1	1095062	1096103	putative aminopeptidase
1064	BSU_10210	BSU10210	NP_388902.1	yhfF	1	1096115	1096523	putative RNA-binding PUA-containing enzyme
1065	BSU_10220	BSU10220	NP_388903.1	gltT	-1	1096559	1097849	proton/sodium-glutamate (aspartate) symport permease
1066	BSU_10230	BSU10230	NP_388904.1	yhfH	-1	1098119	1098260	conserved protein of unknown function
1067	BSU_10240	BSU10240	NP_388905.1	yhfI	1	1098411	1099146	putative metal-dependent hydrolase
1068	BSU_10250	BSU10250	NP_388906.1	lplJ	1	1099158	1100154	lipoate-protein ligase
1069	BSU_10260	BSU10260	NP_388907.1	yhfK	1	1100218	1100863	putative NAD-binding epimerase / hydratase
1070	BSU_10270	BSU10270	NP_388908.2	lcfB	1	1100979	1102521	long-chain fatty-acid-CoA ligase (degradative)
1071	BSU_10280	BSU10280	NP_388909.1	yhfM	-1	1102559	1102955	putative membrane protein
1072	BSU_10290	BSU10290	NP_388910.1	yhfN	1	1103103	1104384	putative membrane metalloprotease
1073	BSU_10300	BSU10300	NP_388911.2	aprE	-1	1104422	1105568	serine alkaline protease (Ca(2+)-dependent subtilisin E)
1074	BSU_10310	BSU10310	NP_388912.1	yhfO	1	1106002	1106452	putative N-acetyltransferase
1075	BSU_10320	BSU10320	NP_388913.1	yhfP	1	1106523	1107516	putative oxidoreductase
1076	BSU_10330	BSU10330	NP_388914.2	yhfQ	1	1107732	1108704	iron(III) siderophore-binding lipoprotein
1077	BSU_10340	BSU10340	NP_388915.1	phoE	-1	1108735	1109317	promiscuous phosphatase; putative (phosphoglycerate) mutase
1078	BSU_10350	BSU10350	NP_388916.1	yhfS	-1	1109387	1110482	acetyl-CoA C-acetyltransferase
1079	BSU_10360	BSU10360	NP_388917.1	yhfT	-1	1110478	1111918	putative long-chain fatty-acid-CoA ligase (proofreading for biotin synthesis)
1080	BSU_10370	BSU10370	NP_388918.1	bioY	-1	1111924	1112485	biotin transporter
1081	BSU_10380	BSU10380	NP_388919.1	hemAT	-1	1112619	1113918	heme-based dioxygen sensor
1082	BSU_10390	BSU10390	NP_388920.1	yhfW	-1	1114056	1115586	putative oxidoreductase with Rieske [2Fe-2S] center
1083	BSU_10400	BSU10400	NP_388921.1	yhxC	1	1115697	1116555	putative oxidoreductase
1084	BSU_10410	BSU10410	NP_388922.1	yhzC	-1	1116582	1116816	conserved protein of unknown function
1085	BSU_10420	BSU10420	NP_388923.1	comK	1	1117108	1117687	competence transcription factor (CTF)
1086	BSU_10430	BSU10430	NP_388924.1	yhxD	-1	1117733	1118633	putative oxidoreductase
1087	BSU_10440	BSU10440	NP_388925.1	yhjA	1	1118849	1119119	conserved hypothetical protein
1088	BSU_10450	BSU10450	NP_388926.1	yhjB	-1	1119161	1120631	putative Na+/metabolite cotransporter
1089	BSU_10460	BSU10460	NP_388927.1	yhjC	-1	1120627	1120828	putative exported protein
1090	BSU_10470	BSU10470	NP_388928.1	yhjD	-1	1121035	1121398	conserved hypothetical protein
1091	BSU_10480	BSU10480	NP_388929.1	yhjE	1	1121549	1122173	putative integral membrane protein
1092	BSU_10490	BSU10490	NP_388930.1	sipV	1	1122174	1122681	type I signal peptidase
1093	BSU_10500	BSU10500	NP_388931.1	yhjG	1	1122861	1124361	putative aromatic compound monooxygenase/hydroxylase
1094	BSU_10510	BSU10510	NP_388932.1	yhjH	1	1124437	1124965	putative transcriptional regulator
1095	BSU_10520	BSU10520	NP_388933.1	glcP	-1	1125122	1126328	glucose/mannose:H+ symporter (recent HGT island)
1096	BSU_10530	BSU10530	NP_388934.2	ntdC	-1	1126399	1127452	biosynthesis of neotrehalosadiamine (3,3'-diamino-3,3'-dideoxy-alpha,beta-trehalose), glucose-6-P 3-dehydrogenase; kanosamine biosynthesis (recent HGT island)
1097	BSU_10540	BSU10540	NP_388935.2	ntdB	-1	1127465	1128314	biosynthesis of neotrehalosadiamine (3,3'-diamino-3,3'-dideoxy-alpha, beta-trehalose);kanosamine-6-phosphate phosphatase (recent HGT island)
1098	BSU_10550	BSU10550	NP_388936.1	ntdA	-1	1128285	1129611	biosynthesis of neotrehalosadiamine (3,3'-diamino-3,3'-dideoxy-alpha, beta-trehalose);3-oxo-glucose-6-phosphate:glutamate aminotransferase; kanosamine aminotransferase (recent HGT island)
1099	BSU_10560	BSU10560	NP_388937.1	ntdR	1	1129714	1130704	transcriptional regulator of the ntd operon (NtdR-NTD) (recent HGT island)
1100	BSU_10570	BSU10570	NP_388938.1	yhjN	-1	1130917	1132072	putative integral inner membrane protein (recent HGT island)
1101	BSU_10580	BSU10580	NP_388939.1	yhjO	-1	1132178	1133384	putative permease (recent HGT island)
1102	BSU_10590	BSU10590	NP_388940.1	yhjP	1	1133497	1135225	putative transcription factor
1103	BSU_10600	BSU10600	NP_388941.1	yhjQ	-1	1135254	1135581	putative metal-chelating cysteine-rich protein of unknown function
1104	BSU_10610	BSU10610	NP_388942.1	yhjR	-1	1135698	1136136	putative electron carrier protein (putative sporulation gene)
1105	BSU_10620	BSU10620	NP_388943.2	addB	1	1136319	1139820	ATP-dependent deoxyribonuclease (subunit B)
1106	BSU_10630	BSU10630	NP_388944.2	addA	1	1139806	1143505	ATP-dependent deoxyribonuclease (subunit A)
1107	BSU_10640	BSU10640	NP_388945.3	sbcD	1	1143576	1144752	DNA repair exonuclease
1108	BSU_10650	BSU10650	NP_388946.2	sbcC	1	1144748	1148141	DNA ATP-dependent repair enzyme
1109	BSU_10660	BSU10660	NP_388947.1	hlpB	1	1148154	1148457	HNH nuclease-like essential for DNA repair
1110	BSU_10670	BSU10670	NP_388948.2	gerPF	-1	1148493	1148712	spore germination protein
1111	BSU_10680	BSU10680	NP_388949.1	gerPE	-1	1148743	1149145	spore germination protein
1112	BSU_10690	BSU10690	NP_388950.1	gerPD	-1	1149144	1149321	spore germination protein
1113	BSU_10700	BSU10700	NP_388951.1	gerPC	-1	1149317	1149935	spore germination protein
1114	BSU_10710	BSU10710	NP_388952.2	gerPB	-1	1149957	1150191	spore germination protein
1115	BSU_10720	BSU10720	NP_388953.1	gerPA	-1	1150205	1150427	spore germination protein
1116	BSU_10730	BSU10730	NP_388954.1	pchI	-1	1150849	1151020	Spo0A-P phosphatase (iron-metabolism related)
1117	BSU_10740	BSU10740	NP_388955.1	yisJ	-1	1151165	1152089	putative spore coat protein, CotH paralog
1118	BSU_10750	BSU10750	NP_388956.1	mblK	1	1152243	1153149	hydrolase/isomerase involved in remodelling the bacterial envelope
1119	BSU_10760	BSU10760	NP_388957.1	yisL	1	1153264	1153621	putative integral membrane protein
1120	BSU_10770	BSU10770	NP_388958.1	wprA	1	1153788	1156473	cell wall-associated protease
1121	BSU_10780	BSU10780	NP_388959.1	yisN	-1	1156503	1157091	conserved hypothetical protein
1122	BSU_10790	BSU10790	NP_388960.2	asnO	1	1157236	1159081	asparagine synthetase (sporulation related)
1123	BSU_10800	BSU10800	YP_054576.1	yizA	-1	1159210	1159690	conserved hypothetical protein (sporulation related)
1124	BSU_10810	BSU10810	NP_388961.1	farP	1	1159921	1160746	farnesyl diphosphate phosphatase
1125	BSU_10820	BSU10820	NP_388962.1	yisQ	-1	1160775	1162143	putative Na(+)-driven efflux transporter
1126	BSU_10830	BSU10830	NP_388963.1	yisR	1	1162266	1163130	putative transcriptional regulator (AraC/XylS family)
1127	BSU_10840	BSU10840	NP_388964.1	iolQ	1	1163147	1164161	transcriptional repressor of iolX (LacI family)
1128	BSU_10850	BSU10850	NP_388965.1	iolX	1	1164369	1165398	scyllo-inositol 2-dehydrogenase (NAD(+))
1129	BSU_10860	BSU10860	NP_388966.2	yisT	-1	1165448	1165958	putative enzyme regulator of activity
1130	BSU_10870	BSU10870	NP_388967.1	yisU	-1	1166007	1166670	putative aminoacid related metabolite efflux transporter
1131	BSU_10880	BSU10880	NP_388968.2	yisV	1	1166736	1168191	putative PLP-dependent transcriptional regulator
1132	BSU_10890	BSU10890	NP_388970.1	yisX	-1	1168198	1168837	conserved hypothetical protein
1133	BSU_10900	BSU10900	NP_388971.1	yisY	1	1169042	1169849	putative acyl hydrolase or peroxidase
1134	BSU_10910	BSU10910	NP_388972.1	yisZ	-1	1169876	1170476	putative adenylylsulfate kinase
1135	BSU_10920	BSU10920	NP_388973.2	yitA	-1	1170472	1171642	putative sulfate adenylyltransferase
1136	BSU_10930	BSU10930	NP_388974.2	yitB	-1	1171754	1172465	putative phospho-adenylylsulfate reductase
1137	BSU_10940	BSU10940	NP_388975.1	slpH	1	1172649	1173336	2-phospho,3-sulfolactate phosphatase (sporulation related)
1138	BSU_10950	BSU10950	NP_388976.1	slpS	1	1173332	1174091	2-phospho-3-sulfolactate synthase
1139	BSU_10960	BSU10960	NP_388977.1	yitE	-1	1174135	1174765	putative integral inner membrane protein
1140	BSU_10970	BSU10970	NP_388978.1	yitF	-1	1174860	1175976	putative enolase superfamily enzyme (isomerase / dehydratase)
1141	BSU_10980	BSU10980	NP_388979.1	yitG	-1	1175984	1177253	putative efflux transporter
1142	BSU_10990	BSU10990	NP_388980.1	yitH	-1	1177364	1178213	putative N-acetyltransferase
1143	BSU_11000	BSU11000	NP_388981.2	yitI	-1	1178217	1178667	putative N-acetyltransferase
1144	BSU_11010	BSU11010	NP_388982.1	samT	-1	1178756	1180595	bifunctional homocysteine S-methyltransferase using (R,S)AdoMet and methylenetetrahydrofolate reductase [NAD(P)H]
1145	BSU_11020	BSU11020	NP_388983.1	yitK	-1	1180908	1181400	putative RNA or cyclic d-GMP binding protein
1146	BSU_11030	BSU11030	NP_388984.1	yitL	1	1181498	1182395	RNA-binding protein
1147	BSU_11040	BSU11040	NP_388985.1	yitM	-1	1182447	1183032	conserved hypothetical protein
1148	BSU_11055	BSU11055	NP_388987.2	yitO	-1	1183028	1183958	putative integral inner membrane protein with HTTM domain
1149	BSU_11070	BSU11070	NP_388988.1	yitP	-1	1183942	1184479	conserved hypothetical protein
1150	BSU_11079	BSU11079	YP_003097701.1	yizB	1	1184656	1185004	putative transcriptional regulator
1151	BSU_11080	BSU11080	NP_388989.2	yitQ	1	1185000	1185588	conserved protein of unknown function
1152	BSU_11090	BSU11090	NP_388990.1	yitR	1	1185607	1185901	conserved protein of unknown function
1153	BSU_11100	BSU11100	NP_388991.1	nprB	1	1186036	1187653	extracellular neutral protease B
1154	BSU_11110	BSU11110	NP_388992.1	fakBB	-1	1187699	1188551	fatty acid kinase fatty acid binding subunit B
1155	BSU_11120	BSU11120	NP_388993.1	yitT	1	1188688	1189531	putative integral membrane protein
1156	BSU_11130	BSU11130	NP_388994.1	ipi	1	1189645	1190005	intracellular proteinase inhibitor BsuPI
1157	BSU_11139	BSU11139	YP_003097702.1	yizC	-1	1190035	1190233	conserved hypothetical protein; genus orphan
1158	BSU_11140	BSU11140	NP_388995.1	ribZC	-1	1190489	1191302	5-amino-6-ribitylamino-2,4(1H, 3H)-pyrimidinedione 5'-phosphate phosphatase (promiscuous)
1159	BSU_11150	BSU11150	NP_388996.1	yitV	1	1191422	1192190	putative carboxylesterase
1160	BSU_11160	BSU11160	NP_388997.1	yitW	1	1192253	1192562	putative protein involved in Fe-S cluster assembly, PaaD-like
1161	BSU_11170	BSU11170	NP_388999.3	yitY	1	1192857	1194288	putative FMN/FAD-binding oxidoreductase
1162	BSU_11180	BSU11180	NP_389000.1	yitZ	1	1194332	1194827	putative transport protein
1163	BSU_11190	BSU11190	NP_389001.2	argC	1	1195033	1196071	N-acetylglutamate gamma-semialdehyde dehydrogenase
1164	BSU_11200	BSU11200	NP_389002.2	argJ	1	1196090	1197311	ornithine acetyltransferase; amino-acid acetyltransferase
1165	BSU_11210	BSU11210	NP_389003.1	argB	1	1197325	1198102	N-acetylglutamate 5-phosphotransferase (acetylglutamate kinase)
1166	BSU_11220	BSU11220	NP_389004.2	argD	1	1198098	1199256	N-acetylornithine aminotransferase
1167	BSU_11230	BSU11230	NP_389005.2	carA	1	1199326	1200388	arginine-specific carbamoyl-phosphate synthetase (small subunit)
1168	BSU_11240	BSU11240	NP_389006.3	carB	1	1200380	1203473	arginine-specific carbamoyl-phosphate synthetase (large subunit)
1169	BSU_11250	BSU11250	NP_389007.1	argF	1	1203460	1204420	ornithine carbamoyltransferase
1170	BSU_11260	BSU11260	NP_389008.1	yjzC	1	1204505	1204685	conserved hypothetical protein
1171	BSU_11270	BSU11270	NP_389009.1	yjzD	-1	1204730	1204916	forespore targeted protein
1172	BSU_11280	BSU11280	NP_389010.1	yjaU	1	1205164	1205899	conserved hypothetical protein
1173	BSU_11290	BSU11290	NP_389011.2	yjaV	1	1205980	1206538	putative NAD(P) binding enzyme
1174	BSU_11300	BSU11300	NP_389012.2	med	1	1206628	1207582	positive regulator of comK
1175	BSU_11310	BSU11310	NP_389013.1	comZ	1	1207596	1207788	putative late competence gene
1176	BSU_11320	BSU11320	NP_389014.1	yjzB	-1	1207817	1208057	spore coat protein
1177	BSU_11330	BSU11330	NP_389015.1	fabHA	1	1208221	1209160	beta-ketoacyl-acyl carrier protein synthase III 1
1178	BSU_11340	BSU11340	NP_389016.1	fabF	1	1209182	1210424	beta-ketoacyl-acyl carrier protein synthase II (involved in pimelate synthesis)
1179	BSU_11350	BSU11350	NP_389017.1	yjaZ	1	1210499	1211285	conserved hypothetical protein
1180	BSU_11360	BSU11360	NP_389018.1	appD	1	1211476	1212463	oligopeptide ABC transporter (ATP-binding protein)
1181	BSU_11370	BSU11370	NP_389019.2	appF	1	1212459	1213449	oligopeptide ABC transporter (ATP-binding protein)
1182	BSU_11381	BSU11381	NA	appAn	1	1213536	1214001	oligopeptide ABC transporter (oligopeptide-binding lipoprotein); N-terminal part of AppA
1183	BSU_11382	BSU11382	NA	appAc	1	1214000	1215167	oligopeptide ABC transporter (oligopeptide-binding lipoprotein); C-terminal part of AppA
1184	BSU_11390	BSU11390	NP_389021.2	appB	1	1215242	1216193	oligopeptide ABC transporter (permease)
1185	BSU_11400	BSU11400	NP_389022.1	appC	1	1216209	1217121	oligopeptide ABC transporter (permease)
1186	BSU_11410	BSU11410	NP_389023.1	yjbA	1	1217325	1218078	putative sporulation nucleic acid binding protein
1187	BSU_11420	BSU11420	NP_389024.1	trpS	-1	1218112	1219105	tryptophanyl-tRNA synthetase
1188	BSU_11430	BSU11430	NP_389025.1	oppA	1	1219848	1221486	oligopeptide ABC transporter (binding lipoprotein)
1189	BSU_11440	BSU11440	NP_389026.1	oppB	1	1221593	1222529	oligopeptide ABC transporter (permease)
1190	BSU_11450	BSU11450	NP_389027.1	oppC	1	1222532	1223450	oligopeptide ABC transporter (permease)
1191	BSU_11460	BSU11460	NP_389028.1	oppD	1	1223454	1224531	oligopeptide ABC transporter (ATP-binding protein)
1192	BSU_11470	BSU11470	NP_389029.1	oppF	1	1224532	1225450	oligopeptide ABC transporter (ATP-binding protein)
1193	BSU_11480	BSU11480	NP_389030.2	yjbB	1	1225556	1226774	putative exporter
1194	BSU_11490	BSU11490	NP_389031.2	yjbC	1	1226937	1227516	putative thiol oxidation management factor; putative acetyltransferase
1195	BSU_11500	BSU11500	NP_389032.1	spxA	1	1227696	1228092	redox-sensitive regulator
1196	BSU_11510	BSU11510	NP_389033.1	yjbE	-1	1228134	1228791	putative membrane protein of unknown function
1197	BSU_11515	BSU11515	YP_009513949.1	NA	1	1228960	1229101	conserved hypothetical protein
1198	BSU_11520	BSU11520	NP_389034.1	mecA	1	1229067	1229724	adaptor protein controlling oligomerization of the AAA+ protein ClpC
1199	BSU_11525	BSU11525	YP_009513950.1	NA	-1	1229718	1229841	conserved hypothetical protein
1200	BSU_11530	BSU11530	NP_389035.1	coiA	1	1229914	1231036	protein involved in establishment of DNA transport in competence
1201	BSU_11540	BSU11540	NP_389036.2	pepF	1	1231082	1233095	oligoendopeptidase F
1202	BSU_11549	BSU11549	YP_003097703.1	yizD	-1	1233132	1233300	conserved hypothetical protein
